City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
488,inhambane,-23.865,35.3833,25.68,87,1,4.07,25.68,1675801320
489,wewak,-3.5534,143.6268,24.74,93,100,3.72,24.74,1675801442
490,raudeberg,61.9875,5.1352,6.04,76,47,9.86,6.04,1675801443
491,bilma,18.6853,12.9164,21.41,18,72,2.53,21.41,1675801444
492,ust-kalmanka,52.1207,83.305,-8.71,95,100,3.42,-8.71,1675801445
493,keti bandar,24.1447,67.4497,21.76,61,0,3.97,21.76,1675801446
494,ampanihy,-24.7,44.75,24.34,68,100,2.32,24.34,1675801447
495,tongliao,43.6125,122.2653,-9.67,54,0,3.36,-9.67,1675801448
496,roald,62.5833,6.1333,7.41,70,40,5.66,7.41,1675801394
497,nola,40.922,14.5329,4.66,62,12,3.01,4.66,1675801450
498,pangkalanbuun,-2.6833,111.6167,23.06,95,100,1.02,23.06,1675801277
499,tomatlan,19.9333,-105.25,29.21,50,99,5.37,29.21,1675801454
500,buluang,13.3068,123.3425,22.19,94,100,1.35,22.19,1675801455
501,santa cruz de tenerife,28.4682,-16.2546,16.84,91,75,6.17,16.84,1675801371
502,jati,24.3539,68.2671,21.27,45,3,3.78,21.27,1675801457
503,porbandar,21.6422,69.6093,21.66,54,4,3.44,21.66,1675801458
504,deputatskiy,69.3,139.9,-43.76,99,58,1.96,-43.76,1675801265
505,bonavista,48.6499,-53.1147,-5.46,65,100,9.11,-5.46,1675801459
506,aykhal,66.0,111.5,-37.47,100,100,1.61,-37.47,1675801460
507,bestobe,52.4994,73.0975,-20.2,100,97,2.5,-20.2,1675801461
508,tabuk,17.4189,121.4443,21.4,94,14,0.45,21.4,1675801461
509,gat,31.61,34.7642,11.16,100,79,9.62,11.16,1675801191
510,andenes,69.3143,16.1194,3.99,60,40,9.77,3.99,1675801240
511,port blair,11.6667,92.75,24.85,74,5,4.44,24.85,1675801326
512,kurilsk,45.2333,147.8833,-5.87,74,99,4.31,-5.87,1675801463
513,yantzaza,-3.8278,-78.7594,26.67,69,40,1.2,26.67,1675801465
514,lidzbark warminski,54.1259,20.5795,-1.34,94,45,2.04,-1.34,1675801466
515,trairi,-3.2778,-39.2689,26.76,78,100,4.45,26.76,1675801404
516,high level,58.5169,-117.136,-0.83,70,1,4.32,-0.83,1675801467
517,petropavlovsk-kamchatskiy,53.0452,158.6483,-23.67,77,0,2.0,-23.67,1675801432
518,mecca,21.4267,39.8261,19.09,51,93,4.64,19.09,1675801468
519,rypin,53.066,19.4094,-1.03,84,100,0.44,-1.03,1675801469
520,villeneuve-sur-lot,44.5,0.6667,6.03,71,4,6.54,6.03,1675801469
521,balkhash,46.844,74.9804,-16.83,98,34,3.83,-16.83,1675801470
522,baracoa,20.3467,-74.4958,26.55,67,2,6.46,26.55,1675801471
